"id","name","category","pow","int","spd","vit","luk","hp","sp","atk","def","mat","mdf","text","mov","hpr","spr","exp","pet"
"7da9fdcf-befa-4f68-a26c-c4225a5f325d","銅の剣","武器","0","0","0","0","0","0","0","24","0","0","0","","0","0","0","0","0"
"e82675dd-5f33-4fce-b9dd-252768b049d1","鉄の剣","武器","0","0","0","1","0","0","0","44","0","0","0","","0","0","0","0","0"
"12bc9c80-3de5-41ee-a613-868027855b07","鋼の剣","武器","0","0","0","2","0","0","0","66","0","0","0","","0","0","0","0","0"
"a55d2157-de54-4770-a18e-615e9f976e9f","金の剣","武器","0","0","0","0","9","0","0","4","0","0","0","","0","0","0","0","0"
"f1d91d78-54a0-47da-b5fd-331c70c8faa5","黄金の宝飾剣","武器","0","0","0","0","15","0","200","4","0","0","0","","0","0","0","0","0"
"fc9f6e7b-8f72-4f4c-800d-8c9fd18f871b","カトラス","武器","0","0","1","0","0","0","0","35","0","0","0","","0","0","0","0","0"
"c2c683bd-7a9e-4476-ba40-55dcf52d4d5d","シミター","武器","0","0","2","0","0","0","0","52","0","0","0","","0","0","0","0","0"
"db639912-d7f2-4eeb-849d-60c14a78c18d","アリババソード","武器","0","0","3","0","1","0","0","79","0","0","0","","0","0","0","0","0"
"8e9fa8f9-6a0a-4d11-ba6e-60563cdceea6","百鬼夜行","武器","2","0","0","0","3","0","0","118","0","0","0","","0","0","0","0","0"
"276f09f8-bfa7-48b8-9be5-d14b4b50d148","戦士の剣","武器","2","0","0","1","0","0","0","73","0","0","0","","0","0","0","0","0"
"29537528-2429-432e-bfb9-f0b9e29239e8","ハードブレード","武器","6","-2","0","0","0","0","0","110","0","0","0","","0","0","0","0","0"
"df219582-2765-4cb8-a4ae-edd074c5b8b2","ナイトソード","武器","0","0","0","2","2","0","0","92","0","0","0","","0","0","0","0","0"
"f123d27f-2228-4455-a2f0-e545100d9dd4","勇者の剣","武器","3","3","0","0","0","0","0","115","0","0","0","","0","0","0","0","0"
"84c7fe54-2593-455b-b6ad-42733e0e037c","聖剣アクティウス","武器","4","0","0","2","0","0","0","140","0","0","0","","0","0","0","0","0"
"60c4bf05-53e3-48c3-92e5-ca0f32f65dc2","漆黒の剣","武器","6","0","0","0","0","0","0","172","0","0","0","","0","0","0","0","0"
"b0009c1e-bb77-4d34-a2a0-5315e63f378c","輝光の剣","武器","0","4","0","0","3","0","0","168","0","0","0","","0","0","0","0","0"
"b2bab829-af45-47d5-a63e-6f3ed2a65239","獅子王刀・牙簾","武器","5","0","0","5","0","0","0","210","0","0","0","","0","0","0","0","0"
"24923352-2fc0-4945-aba5-d7a67667e9ac","エルシュトラソード","武器","9","0","0","8","0","0","0","270","0","0","0","","0","0","0","0","0"
"de5f0f38-eb7c-4464-b61b-916b10df1aa7","覇剣オプシディア","武器","12","0","0","9","0","0","0","300","0","0","0","","0","0","0","0","0"
"32a3104d-4d8d-42ac-bf25-1dbb4bf7169f","覇剣ペリステシア","武器","15","0","0","10","0","0","0","333","0","0","0","","0","0","0","0","0"
"f3915f42-8d75-466d-84d6-d85a152956a3","邪神剣アポフィカリス","武器","17","0","0","12","0","0","0","380","0","0","0","","0","0","0","0","0"
"d2e5af0b-1794-41de-b449-3d67189a9af6","竜王斬魔剣","武器","3","0","0","3","0","0","0","160","0","0","0","","0","0","0","0","0"
"67198fc4-0e4b-4946-bd8a-93343af4bb77","真・竜王斬魔剣","武器","4","0","0","4","0","0","0","183","0","0","0","","0","0","0","0","0"
"cb0708cb-02f8-4953-8e2e-fbbc6b0ad332","天魔滅殺剣","武器","5","5","0","0","0","0","0","222","0","0","0","","0","0","0","0","0"
"550b8fda-7f45-4bed-a95d-7d416f09035b","破邪瑞翔剣","武器","7","7","0","0","0","0","0","245","0","0","0","","0","0","0","0","0"
"1ff1ce31-4357-48b3-be16-caa5e094654b","冥羅蓮還剣","武器","10","10","0","0","0","0","0","280","0","0","0","","0","0","0","0","0"
"6e6d8782-0cfb-4fc5-9959-8dfccb485f3f","スイートスティック","武器","0","0","3","0","3","0","0","74","0","0","0","","0","0","0","0","0"
"b51f1c04-dc22-4546-aba4-50630d1ef7f6","クワカッター","武器","1","0","1","0","0","0","0","31","0","0","0","","0","0","0","0","0"
"ab451a14-1bc4-4334-ade1-670cfd48fad0","クワカリバー","武器","2","0","2","0","0","0","0","74","0","0","0","","0","0","0","0","0"
"54f05ab0-c036-41dd-9aa0-44f892086fb6","夢想剣レヴェリアー","武器","0","0","1","1","0","0","0","9","0","0","0","","0","0","0","0","0"
"7770dda1-d685-4ed5-9f7f-c82fc0b30a13","夢想剣レヴェリアー(Ev)","武器","0","0","1","1","0","0","0","9","0","0","0","","0","0","0","0","0"
"ac316514-65c9-45eb-87eb-902c0d9d0cc6","夢想剣レヴェリアーＲ","武器","0","0","1","1","0","0","0","90","0","0","0","","0","0","0","0","0"
"fd6a8359-38b7-4251-ba50-cfe4165da7cc","幻魔剣カイーナ","武器","0","0","0","0","0","0","0","4","0","0","0","","0","0","0","0","0"
"727ed013-c3d2-4a4d-a75e-7568c16c356e","幻魔剣アンテノーラ","武器","0","0","0","0","0","0","0","9","0","0","0","","0","0","0","0","0"
"83d8a246-e461-42bf-9ea9-df72e791e86f","幻魔剣トロメーア","武器","0","0","0","0","0","0","0","12","0","0","0","","0","0","0","0","0"
"09c8128a-896a-410d-a53f-a8c319b83afa","グーパンチ","武器","1","0","0","0","6","0","0","21","0","0","0","","0","0","0","0","0"
"e87d29ff-5579-49f7-8239-23d4e98e9bee","チョキシザー","武器","0","1","0","0","6","0","0","21","0","0","0","","0","0","0","0","0"
"37e93c4d-9737-41d0-844e-55ce2f6b093f","パービンタ","武器","0","0","0","1","6","0","0","21","0","0","0","","0","0","0","0","0"
"8a71d1b5-d9af-4eea-9e36-2cb2875714f3","フラッシュセイバー","武器","0","0","0","0","0","0","0","120","0","0","0","","0","0","0","0","0"
"af1d6b49-0ca4-4640-b135-bffb693b7598","ヘボナイフ","武器","0","0","0","0","0","0","0","3","0","0","0","","0","0","0","0","0"
"3c31f0af-7f63-452e-9f07-1675bd626c98","新入生の剣","武器","1","0","0","0","0","0","0","5","0","0","0","","0","0","0","0","0"
"37bcdb40-35bd-47df-be8a-2d8eb74079c8","バタフライナイフ","武器","0","0","1","0","0","0","0","13","0","0","0","","0","0","0","0","0"
"c532ddd2-5cff-40de-97eb-3332788c7cea","銀のナイフ","武器","0","0","1","0","2","0","0","29","0","0","0","","0","0","0","0","0"
